short_text,id,label,data,is_attention_check,expected_answer
"Slowly and gradually, all facets of their lives can be accomplished by way of the Net. Meeting possible dates and dating can now be accomplished in the virtual globe.Nowadays online dating internet sites have enjoyed a large next since its inceptions a number of decades back. Folks are quick view...",5febe40a7f4bf6f477af654d3eea9ab3,male,PAN13-EN,False,
"What a wonderful day we had. We ventured to Six Flags over Georgia. It wasn't quite as I remember it when I was 20 years old...then again that was 16 years ago. I can remember when I went as a kid, it was huge and exciting and I wanted to do everything and there was never enough time. Now that I'...",4168492,1,BLOG,False,
This text will discuss the key variations between the two that will help you resolve which may be better for you. Perceive that my opinion is based on my private experience and the analysis that I've conducted.Liquid Diets (And Why One Of These Technically Is not One): I imagine that individuals ...,28c118646abaf08b33535fad28820db0,male,PAN13-EN,False,
It was a day of sightseeing for us!. We saw several different exhibits. This was cool because the ferris wheel was in the background. I loved watching the children on the merry-go-round. We even saw characters interacting!,2036_3,Female,PASTEL,False,
"it behoves on us all to make a drastic and prompt actions to make change a reality, in this part of the world called 'Nigeria' chauvinism is killing us",8b794cc8b9857b8704d9dc4eb5d0863f,female,PAN13-EN,False,
"In the beginning, what great way to start a book! I could go back to the time where there was total void but maybe it would be better to start at, let there be light... For me the light didn't come on until I was in my thirty's, mid thirty's. I packed a few clothes and photo albums and the kids a...",4213593,1,BLOG,False,
It was time to start family vacation. We started out with lunch on the ocean. Then we looked out at the water. We tried some of the culture's delicacies at the hotel. We ended the day with a beautiful sunset.,4813_0,Male,PASTEL,False,
"A number of things seize the focus today. Anything that will add convenience to your everyday living is obviously encouraged. Though any pen and paper is a big help to document dictations, many of us encouraged recorders since it makes the job less complicated. The typewriter had been carrying ou...",513bb87c52164b23fd22014659e67b69,male,PAN13-EN,False,
The group went to a costume party together. The costume party had a 70s theme. The costume party selected the winner of the costume party. The costume party was also a charity party. The costume charity presented a check to help children.,5115_1,Female,PASTEL,False,
"Every year, the snow fall begins around the same time. The winter always gives the graveyard an eerie glow. In order to keep yourself a bit warmer, you can sit at the table away from the snow. But it's also nice to walk at night with a loved one for a romantic evening. Just as long as you return home before morning when you can sleep off the cold.",13221_0,Female,PASTEL,False,
