confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,"While the content leans toward a softer, more nurturing style with children engaged in creative activities, it doesn't strongly emphasize emotional expression or deeper sensory language. Therefore, I'm moderately confident in this judgment.",2: Somewhat Feminine,"Our school held its anual giant book fair. The children love to color and draw. There were many books to choose from. The children were drawing a nice picture. After the book fair ended, there were a bunch of kids still drawing.",14240,Female,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,2,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"While there is some mention of socializing and personal experiences, the overall tone and language don't clearly lean in one direction, so I'm moderately confident about this rating.",3: Neutral,Our special outing definitely required alot of snacks. We had alot of time to kill before the start. I ran into a co worker who was sitting near by . Some people thought their jeans were super trending I guess. so glad I was able to spend this day with friends and my sister .,8230,Male,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,3,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"The text has some elements that suggest a more masculine style (direct statements, focus on action), but it also contains lighter, more conversational elements (fun, tiredness) that could sway it slightly toward neutrality.",4: Somewhat Masculine,This years vacation sights were amazing. We started by visiting the cathedral. We had lots of fun during the trip. I even bought a candy bar that wasn't for girls. I was so tired I could take naps for days!,36956,Male,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,4,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"While the style is direct and action-focused, it also has some informal, less assertive tones that leave room for ambiguity. I feel moderately confident about it being somewhat masculine based on the casual and activity-focused nature of the text.",4: Somewhat Masculine,"I went to a party for a few of my friends' crew (a sport where a team of rowers race boats) team yesterday, and like at most parties I attend where the host is not either myself or one of my friends, about half the people were cool and fun and let me and my friend Boney (whom I invited to tag alo...",3495919,male,BLOG,67a8ec4ea60bb64966445f02,no,I agree,4,3
4: Very Confident. You were very certain about your judgment with no hesitation,"The text is highly technical and direct, with a focus on expertise and facts, which aligns with a very masculine style. There's little room for emotional expression or relational elements, so I’m very confident in this rating.",5: Very Masculine,"Are you looking for independent video borescope inspections of aircraft engines and Auxiliary Power Units. RVI ltd offers you engine inspection , aircraft inspections, turbine inspection with knowledge and experience of 100 years in the aviation industry. RVI Ltd can be said as one of the industr...",feddbbb90cde23cf9d71cc0a9ef903f5,female,PAN13-EN,67a8ec4ea60bb64966445f02,no,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"The text contains both neutral descriptions and an appreciation for the outdoors, but it lacks the deeper emotional language or action-focused terms typically associated with either masculine or feminine styles.",3: Neutral,"We went for a hike on the beach today. The terrain was rugged and rocky on this day. We stopped to view the scenery and take pictures along the way. The cool geologic formations are what we enjoyed the most. When we reached our view, we paused to admire the ocean.",31896,Male,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,3,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"While the text is focused on honoring soldiers and involves strong action and respect, it also includes some emotional undertones and reverence for the fallen, which can bring in a more reflective tone. I’m moderately confident that it’s somewhat masculine due to the context of military remembrance.",4: Somewhat Masculine,The people honored the memorial. They looked at the many graves of fallen soldiers Here they honored the flag. The group admired the ashes of a high ranking solider They ended the day with the Packers At the cemetery there were some people observing a soldiers lives. So many soldiers lost their lives to save ours. Some soldiers were preparing for the funeral of another soldier. There was a soldiers remains at this funeral. The soldiers house had a bird house of his favorite team in remembrance of him.,16455,Male,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,4,3
4: Very Confident. You were very certain about your judgment with no hesitation,"The text is deeply rooted in a traditionally masculine activity (hunting) and has a direct, results-focused tone. It's clear and unambiguous in its style, which makes me very confident in this rating.",5: Very Masculine," I do not harvest a deer every season. In fact, in the 12 years that I have deer hunted seriously, every season, and with great effort, I have taken a total of four deer. I consider myself a 'trophy hunter'. By that, I mean that each year I hunt for a buck that is 'better' than the last one I too...",4105191,male,BLOG,67a8ec4ea60bb64966445f02,no,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"The overall tone is warm and relational, with a focus on gathering and shared experiences. However, it’s not as emotionally intense as very feminine texts, so I’m moderately confident in this rating.",2: Somewhat Feminine,"It's important to light the candles before we eat. Afterwards, we say a little prayer to express our thanks for this lovely gathering. The food was definitely worth the trip. And the dancing was definitely the highlight of our evening. At the end of the day we got the band together and played a few tunes before saying goodbye.",25256,Female,PASTEL,67a8ec4ea60bb64966445f02,no,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',1,,,67a8ec4ea60bb64966445f02,no,I agree,2,4
