"p_id","short_text","style","confidence","comments","data","consent","feedback","style_score","confidence_score","label","text_id","pred_gender","Submission id","Status","Custom study tncs accepted at","Started at","Completed at","Reviewed at","Archived at","Time taken","Completion code","Total approvals","Age","Sex","Ethnicity simplified","Country of birth","Country of residence","Nationality","Language","Student status","Employment status","URL","Gender"
"5608a73fd7def20012b7389d","Getting transportation is a trouble. If you do not personal a automobile and you live in a large metropolis, this could be specifically genuine. You're heading to uncover that there are a whole lot of diverse issues to offer with in regards to obtaining about, and when it's time to transfer forwa...","4: Somewhat Masculine","3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts",NA,"PAN13-EN","I agree",NA,4,3,"female","fbd5a32e8be4d4a9e5ad92550b2812b9","","67aa4f711fc65cad00f37c53","APPROVED","Not Applicable",2025-02-10 19:12:05.512,2025-02-10 19:24:14.449,2025-02-10 21:27:30.941,2025-02-10 19:24:43.62832,729,"C1DSW210",8578,"37","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","https://gender-writing-style.streamlit.app/",NA
"5608a73fd7def20012b7389d","Check the brakes, the wipers and the heater carefully, because any issues with these could cause you serious problems out on the road. Next, check that the tires are higher properly, and the tread is good. Winter in the uk brings rain, ice and occasionally snow, which are the most perilous condit...","5: Very Masculine","3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts",NA,"PAN13-EN","I agree",NA,5,3,"male","b7570d29fbccc7393e4f35c44dd5a497","","67aa4f711fc65cad00f37c53","APPROVED","Not Applicable",2025-02-10 19:12:05.512,2025-02-10 19:24:14.449,2025-02-10 21:27:30.941,2025-02-10 19:24:43.62832,729,"C1DSW210",8578,"37","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","https://gender-writing-style.streamlit.app/",NA
"5608a73fd7def20012b7389d","I prepared my rocket for the competition. I set my rocket to take off mode. The rocket flew like a charm. Everybody cheered at the successful rocket launch. My rocket went the highest and won the competition.","4: Somewhat Masculine","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts",NA,"PASTEL","I agree",NA,4,2,"Female","17681","","67aa4f711fc65cad00f37c53","APPROVED","Not Applicable",2025-02-10 19:12:05.512,2025-02-10 19:24:14.449,2025-02-10 21:27:30.941,2025-02-10 19:24:43.62832,729,"C1DSW210",8578,"37","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","https://gender-writing-style.streamlit.app/",NA
"5608a73fd7def20012b7389d","Today it was finally Easter at our church. The kids gathered to find eggs.q This little girl was having a hard time finding some. Those kids took just a few minutes to find most of the eggs. Overall the kids enjoyed their Easter hunt.","3: Neutral","3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts",NA,"PASTEL","I agree",NA,3,3,"Male","13578","","67aa4f711fc65cad00f37c53","APPROVED","Not Applicable",2025-02-10 19:12:05.512,2025-02-10 19:24:14.449,2025-02-10 21:27:30.941,2025-02-10 19:24:43.62832,729,"C1DSW210",8578,"37","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","https://gender-writing-style.streamlit.app/",NA
"5608a73fd7def20012b7389d","As I enter my third year teaching at Independence High School, I have various technology experiences, but nothing extensive. I love technology, but take little initiative to learn about new programs available. I hope to learn enough to show my students how to use the internet in ways other than s...","4: Somewhat Masculine","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts",NA,"BLOG","I agree",NA,4,2,"female","3865293","","67aa4f711fc65cad00f37c53","APPROVED","Not Applicable",2025-02-10 19:12:05.512,2025-02-10 19:24:14.449,2025-02-10 21:27:30.941,2025-02-10 19:24:43.62832,729,"C1DSW210",8578,"37","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","https://gender-writing-style.streamlit.app/",NA
"5608a73fd7def20012b7389d","There is a sign for the Sagamore. Tiffany is another lighted sign. This sign is lit in green. The Penguin Hotel is bluish and distinctive. A distinctive retro sign is Crescent.","3: Neutral","3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts",NA,"PASTEL","I agree",NA,3,3,"Male","9216","","67aa4f711fc65cad00f37c53","APPROVED","Not Applicable",2025-02-10 19:12:05.512,2025-02-10 19:24:14.449,2025-02-10 21:27:30.941,2025-02-10 19:24:43.62832,729,"C1DSW210",8578,"37","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","https://gender-writing-style.streamlit.app/",NA
"5608a73fd7def20012b7389d","The crowd gathered and planned to see the concert. They wait at the diversion nearby. The crowd started to be restless. The sound guys were finally ready for the musicians to take the stage. They played the set they practice for a period of time.","4: Somewhat Masculine","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts",NA,"PASTEL","I agree",NA,4,2,"Male","1969","","67aa4f711fc65cad00f37c53","APPROVED","Not Applicable",2025-02-10 19:12:05.512,2025-02-10 19:24:14.449,2025-02-10 21:27:30.941,2025-02-10 19:24:43.62832,729,"C1DSW210",8578,"37","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","https://gender-writing-style.streamlit.app/",NA
"5608a73fd7def20012b7389d","busy week, sport, music the usual stuff. couldnt be bothered posting.made some sik song loop things at lukes, had a pizza dinner and downloaded music. listened to music...rise fm hardcore music 21 minutes hardcore dance track. boring chinese school, came out half and hour early... and yeahhad piz...","4: Somewhat Masculine","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts",NA,"BLOG","I agree",NA,4,2,"male","3621783","","67aa4f711fc65cad00f37c53","APPROVED","Not Applicable",2025-02-10 19:12:05.512,2025-02-10 19:24:14.449,2025-02-10 21:27:30.941,2025-02-10 19:24:43.62832,729,"C1DSW210",8578,"37","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","https://gender-writing-style.streamlit.app/",NA
"5608a73fd7def20012b7389d","Texas Hunting Land is a perfect venue for your hunting destinations if you would like your hunting done with tranquility and faraway from the city's buzz and noises. Indeed, Texas offers lots of perfect hunting locations on your behalf that will deliver be familiar with ambiance and environment y...","4: Somewhat Masculine","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts",NA,"PAN13-EN","I agree",NA,4,2,"male","d328a3c669a5b60298396a53ec2b9e39","","67aa4f711fc65cad00f37c53","APPROVED","Not Applicable",2025-02-10 19:12:05.512,2025-02-10 19:24:14.449,2025-02-10 21:27:30.941,2025-02-10 19:24:43.62832,729,"C1DSW210",8578,"37","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","https://gender-writing-style.streamlit.app/",NA
"5608a73fd7def20012b7389d","ha!z.. todae waste lots of time in class cuz lookin for classes den will lend us deir ohp...search for so long n finalli 1/8 lend us deirs....den after schl heard tt cher is gg to spotcheck for books left underneath our desk n everyone was so kanjiong in tryin to hide it....but our class onli lef...","3: Neutral","3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts",NA,"BLOG","I agree",NA,3,3,"male","3990524","","67aa4f711fc65cad00f37c53","APPROVED","Not Applicable",2025-02-10 19:12:05.512,2025-02-10 19:24:14.449,2025-02-10 21:27:30.941,2025-02-10 19:24:43.62832,729,"C1DSW210",8578,"37","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","https://gender-writing-style.streamlit.app/",NA
