confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
4: Very Confident. You were very certain about your judgment with no hesitation,All I can say about the tone is that it is clear.,3: Neutral,"I'm adding a new post today - not because I have anything interesting to say, but because I'm being badgered to update my blog. I do intend to eventually make a habit of keeping this fresh, but it may take a while to get into some kind of routine. Especially since I try to avoind my computer at h...",3418197,0,BLOG,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,4: Somewhat Masculine,"Don't let any situation you find yourself to deprive you of your joy, you have the right to either be happy or sad....problems are only there to shake our minds in order to take a nasty decision that may lead to a regret tomorrow. note: the society might seems to reject you because of circumstanc...",16ac13162dbd1bdb7ed722e7b92a4211,female,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,4,4
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"As we know, play is a child's work that is why it is important that we choose online games that are fun and educational at the same time. Today, almost every household has a computer and internet connection. It is not surprising that kids are on the computer or are learning how to operate one. Th...",ae6cee152246f8695a8b40a30922f511,female,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,2,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,1: Very Feminine,"Phew...Just finished my dinner...Today is a normal day for me again...Nothing special happened... Went to school , study , come back and sleep... Tomorrow will be the first day of trial examination and I am totally not ready yet... Not even a subject... Not even half a subject... Maybe because I ...",3944847,0,BLOG,6843d1689d61b53eeae097b1,,I agree,1,2
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"Click Here to Watch Jazz vs Grizzlies Online Live Live stream tv online watch its live the best sports broadcast tv online we will try to get live video grizzlies v utah jazz live 06 01 2012. Watch juventus cesena livestream 04 december, 2011 watch watch qatar exxonmobil open 2012 live stream wat...",a8072c35f9b9e53b354b52671d230aea,female,PAN13-EN,6843d1689d61b53eeae097b1,,I agree,3,4
1: Not Confident. You were unsure or found the text ambiguous,,2: Somewhat Feminine,"[Blogger's note: This is my first blog posting ever, so I’m a little nervous about jumping in here. The subject of my first post is not a particularly controversial or “hot-button” issue - it concerns some of the the procedural arcana involved in conducting Presidential elections. But it’s a topi...",3494117,0,BLOG,6843d1689d61b53eeae097b1,,I agree,2,1
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,The family was ready for a great time at the Winter Wonderland park. There were Christmas decorations everywhere! We stopped by a stable to visit the reindeer. There were even shows with costumed characters. One of my favorite parts were some of the games they had at stands.,3091_3,Male,PASTEL,6843d1689d61b53eeae097b1,,I agree,3,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,1: Very Feminine,My first day at school... I walked in and a lot of people hugged me and then i walked to my locker threw my stuff inside and went to find more people. After i was done messing around we had an asslembly and the teachers all ran in when they were announced and we all laughed at them and then i wen...,4197874,0,BLOG,6843d1689d61b53eeae097b1,,I agree,1,3
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,The art museum had exhibits made of wires. There were also exhibits made of plastic. Farther in there were paintings of landscapes. There were also flowers and oil paintings in the museum. Some of the paintings mimicked the flowers in real life.,31266_2,Female,PASTEL,6843d1689d61b53eeae097b1,,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',1,,,6843d1689d61b53eeae097b1,,I agree,2,4
